,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
48910,N040,R251,00-00-01,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,8282527,10734677
48911,N040,R251,00-00-01,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,8282553,10734705
48948,N040,R251,00-00-02,96 ST,BC,IND,06/20/2020,04:00:00,REGULAR,11911917,7497640
48949,N040,R251,00-00-02,96 ST,BC,IND,06/20/2020,08:00:00,REGULAR,11911930,7497659
48950,N040,R251,00-00-02,96 ST,BC,IND,06/20/2020,12:00:00,REGULAR,11911975,7497691
48951,N040,R251,00-00-02,96 ST,BC,IND,06/20/2020,16:00:00,REGULAR,11912049,7497746
48952,N040,R251,00-00-02,96 ST,BC,IND,06/20/2020,20:00:00,REGULAR,11912130,7497788
48953,N040,R251,00-00-02,96 ST,BC,IND,06/21/2020,00:00:00,REGULAR,11912183,7497811
144363,R168A,R168,00-00-00,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,2014189,2089340
144364,R168A,R168,00-00-00,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,2014216,2089393
144365,R168A,R168,00-00-00,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,2014259,2089463
144366,R168A,R168,00-00-00,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,2014333,2089549
144367,R168A,R168,00-00-00,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,2014363,2089625
144368,R168A,R168,00-00-00,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,2014381,2089669
144405,R168A,R168,00-00-01,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,6370956,2653763
144406,R168A,R168,00-00-01,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,6370961,2653818
144407,R168A,R168,00-00-01,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,6370970,2653865
144408,R168A,R168,00-00-01,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,6370984,2653951
144409,R168A,R168,00-00-01,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,6371021,2654006
144410,R168A,R168,00-00-01,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,6371057,2654044
144447,R168A,R168,00-00-02,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,143163,91815
144448,R168A,R168,00-00-02,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,143186,91860
144449,R168A,R168,00-00-02,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,143227,91908
144450,R168A,R168,00-00-02,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,143307,91970
144451,R168A,R168,00-00-02,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,143326,92020
