,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144416,R168A,R168,00-00-01,96 ST,123,IRT,06/16/2020,01:00:00,REGULAR,6369926,2652355
144453,R168A,R168,00-00-02,96 ST,123,IRT,06/15/2020,05:00:00,REGULAR,141811,90198
144454,R168A,R168,00-00-02,96 ST,123,IRT,06/15/2020,09:00:00,REGULAR,141857,90266
144455,R168A,R168,00-00-02,96 ST,123,IRT,06/15/2020,13:00:00,REGULAR,141895,90325
144456,R168A,R168,00-00-02,96 ST,123,IRT,06/15/2020,17:00:00,REGULAR,141986,90390
144457,R168A,R168,00-00-02,96 ST,123,IRT,06/15/2020,21:00:00,REGULAR,142046,90473
144458,R168A,R168,00-00-02,96 ST,123,IRT,06/16/2020,01:00:00,REGULAR,142067,90508
144495,R168A,R168,00-02-00,96 ST,123,IRT,06/15/2020,05:00:00,REGULAR,6667501,7895848
144496,R168A,R168,00-02-00,96 ST,123,IRT,06/15/2020,09:00:00,REGULAR,6667523,7895939
144497,R168A,R168,00-02-00,96 ST,123,IRT,06/15/2020,13:00:00,REGULAR,6667546,7896000
144498,R168A,R168,00-02-00,96 ST,123,IRT,06/15/2020,17:00:00,REGULAR,6667596,7896090
144499,R168A,R168,00-02-00,96 ST,123,IRT,06/15/2020,21:00:00,REGULAR,6667630,7896166
144500,R168A,R168,00-02-00,96 ST,123,IRT,06/16/2020,01:00:00,REGULAR,6667644,7896193
144537,R168A,R168,00-03-00,96 ST,123,IRT,06/15/2020,05:00:00,REGULAR,4663867,10436816
144538,R168A,R168,00-03-00,96 ST,123,IRT,06/15/2020,09:00:00,REGULAR,4663896,10436963
144539,R168A,R168,00-03-00,96 ST,123,IRT,06/15/2020,13:00:00,REGULAR,4663926,10437052
144540,R168A,R168,00-03-00,96 ST,123,IRT,06/15/2020,17:00:00,REGULAR,4663980,10437144
144541,R168A,R168,00-03-00,96 ST,123,IRT,06/15/2020,21:00:00,REGULAR,4664020,10437203
144542,R168A,R168,00-03-00,96 ST,123,IRT,06/16/2020,01:00:00,REGULAR,4664035,10437231
144579,R168A,R168,00-03-01,96 ST,123,IRT,06/15/2020,05:00:00,REGULAR,4163245,5249350
144580,R168A,R168,00-03-01,96 ST,123,IRT,06/15/2020,09:00:00,REGULAR,4163291,5249439
144581,R168A,R168,00-03-01,96 ST,123,IRT,06/15/2020,13:00:00,REGULAR,4163351,5249520
144582,R168A,R168,00-03-01,96 ST,123,IRT,06/15/2020,17:00:00,REGULAR,4163460,5249597
144583,R168A,R168,00-03-01,96 ST,123,IRT,06/15/2020,21:00:00,REGULAR,4163527,5249666
144584,R168A,R168,00-03-01,96 ST,123,IRT,06/16/2020,01:00:00,REGULAR,4163564,5249695
